Permanent reference numbers for individuals,Permanent reference numbers for entities,Two Digit Country ISO Code,Committee,Subject Matter Abbreviated
CDi.001,CDe.001,CD,1533 (2004),Resolution 1533 (2004) concerning the Democratic Republic of the Congo
CFi.001,CFe.001,CF,2127 (2013),Resolution 2127 (2013) concerning the Central African Republic
CIi.001,CIe.001,CI,1572 (2004),Resolution 1572 (2004) concerning C“te d'Ivoire
GBi.001,GBe.001,GB,2048 (2012),Resolution 2048 (2012) concerning Guinea-Bissau
IQi.001,IQe.001,IQ,1518 (2003),Resolution 1518 (2003) re: the former Iraqi regime
IRi.001,IRe.001,IR,1737 (2006),Resolution 1737 (2006).  Relating to the Islamic Republic of Iran.
KPi.001,KPe.001,KP,1718 (2006),Resolution 1718 (2006). Relating to the Democratic People?s Republic of Korea (DPRK).
LRi.001,LRe.001,LR,1521 (2003),Resolution 1521 (2003) concerning Liberia
LYi.001,LYe.001,LY,1970 (2011),Resolution 1970 (2011) concerning Libya
NA,NA,NA,NA,"Resolution 1636 (2005).  Re February 2005 terrorist bombing in Beirut, Lebanon that killed Hariri and 22 others."
NA,NA,NA,NA,Resolution 2140 (2014).  Yemen.
QDi.001,QDe.001,non-State entity,1267/1989,Resolutions 1267 (1999) and 1989 (2011) concerning Al-Qaida and associated individuals and entities
SDi.001,SDe.001,SD,1591 (2005),Resolution 1591 (2005) concerning the Sudan
SOi.001,SOe.001,SO,751 (1992) / 1907 (2009),Resolutions 751 (1992) and 1907 (2009) concerning Somalia and Eritrea
TAi.001,TAe.001,non-State entity,1988 (2011),Resolution 1988 (2011);  Resolution 2082 (2012)  Re:  Taliban/ Afghanistan
